Date_&_Time,Mill_TPH,Clinker_TPH,Gypsum_TPH,DFA_TPH,WFA_TPH,Mill_KW,Mill_Inlet_Temp,Mill_Outlet_Temp,Mill_Outlet_BE_Amp,Mill_Vent_Fan_RPM,Mill_Vent_Fan_KW,Mill_Vent_BF_Inlet_Draft,Mill_Vent_BF_Outlet_Draft,Reject,Sep_RPM,Sep_KW,Sep_Amp,CA_Fan_RPM,CA_Fan_KW,Mill_Folaphone,Mill_Inlet_Draft,Mill_Outlet_Draft,Sep_Vent_Inlet_Draft,Sep_Vent_Outlet_Draft,Sep_Vent_bag_filter_fan_kw,Sep_Vent_bag_filter_fan_rpm,Residue
03-06-2022 11:38,156.99,97.02,5.02,50.24,4.71,3635.1,33.23,90.63,49.92,899.94,43.69,85.02,201.94,115.28,957.86,57.1,142.61,900.36,324.28,97.07,20.3,83.6,133.6,211.4,14.98,750,13.9
03-06-2022 12:26,167.09,103.26,5.35,53.47,5.01,3629.45,33.65,89.7,52.87,899.94,43.51,84.54,199.63,152.37,957.77,61.54,150.52,900.41,320.22,97.09,22.8,87.3,132.4,211.8,14.26,750,15.8
03-06-2022 14:37,161.45,99.78,5.17,51.66,4.84,3678.8,34.29,95.07,49.07,880,43.24,87.66,187.23,117.25,957.45,54.99,143.41,900.4,320.56,96.83,23.4,86.9,132.5,212.4,15,750,15.5
03-06-2022 15:33,161.13,99.58,5.16,51.56,4.83,3632.24,33.86,97.76,49.93,880,43.64,86.51,183.39,144.5,967.1,55.55,143.02,900.42,320.06,96.57,22.5,87.5,136.3,211.9,14.66,750,15.2
03-06-2022 16:35,162.04,100.14,5.19,51.85,4.86,3619.43,32.73,87.65,56.99,899.94,43.05,85.87,176.52,136.85,967.24,63.02,150.52,900.45,318.39,96.67,23.8,86.4,133,212.9,14.23,750,14.5
03-06-2022 17:37,161.35,99.71,5.16,51.63,4.84,3655.57,32.16,88.58,47.54,899.94,42.66,87.04,188.53,155.96,957.83,61.55,150.71,900.45,317.63,96.69,22.6,83.9,134.3,212.3,14.2,750,14.8
03-06-2022 18:37,160.09,98.94,5.12,51.23,4.8,3680.51,31.59,90.03,43.56,899.94,42.75,88.7,177.84,140.5,957.59,49.98,138.93,900.36,323.74,97.47,20.7,88,133.3,212.8,14.26,750,15.4
03-06-2022 19:28,159.14,98.35,5.09,50.93,4.77,3726.66,30.74,88.3,42.11,899.94,42.7,81.88,179.46,199.1,957.51,32.47,129.69,900.28,329.1,97.01,23,87.5,132.8,211.4,14.26,750,16.3
03-06-2022 22:28,159.44,98.53,5.1,51.02,4.78,3557.32,33.59,92.02,48.55,920.02,43.26,81.56,205.41,145.92,937.35,62.72,134.01,905.34,327.73,95.6,22.5,86.7,133.4,211.3,14.25,750,14.3
03-06-2022 23:29,161.57,99.85,5.17,51.7,4.85,3614.58,34.32,93.67,50.9,899.94,42.73,85.75,184.45,142.89,957.97,64.87,153.17,900.45,317.11,96.69,18.5,86.5,135.8,21.6,14.22,750,13.8
04-06-2022 00:25,162.18,100.23,5.19,53.52,3.24,3578.6,30.1,89.33,48.82,899.94,43.79,81.29,207.48,66.56,952.58,42.45,134.09,900.29,337.97,96.64,19.6,85.6,134.8,212.4,14.5,750,14.3
04-06-2022 01:28,162.85,100.64,5.21,53.74,3.26,3590.33,29.79,80.95,52.71,899.94,43.97,79.33,191.29,35.37,907.57,27.1,125.76,905.25,337.84,97.28,22,86.9,132.3,211.5,14.3,750,13.9
04-06-2022 02:36,162.57,100.47,5.2,53.65,3.25,3681.3,29.01,85.94,46.77,899.94,43.51,75.12,191.5,45.1,920.01,31.2,127.76,900.25,332.3,96.64,19.2,88.5,135.2,211.9,14.23,750,15.8
04-06-2022 03:33,162.2,100.24,5.19,53.53,3.24,3685.23,28.73,92.85,44.36,899.94,43.97,79.22,189.1,51.62,922.45,36.27,128.79,900.24,332.1,97,20.2,83.9,134.5,212.8,14.26,750,16.2
04-06-2022 04:29,161.62,99.88,5.17,53.33,3.23,3633.63,28.21,90.81,48.15,899.94,43.85,79.12,203.12,67.67,952.78,40.39,134.87,900.29,327.43,97.02,19.2,86.5,134.3,211.4,15.2,750,15.5
